   # uid                          gold  ok/8 | correct-rollout think tokens (sorted) | incorrect think
   0 gsm8k_test:0                   18   3/8 | 183,204,338                                   | 120,138,155,205,546
   1 gsm8k_test:1                    3   7/8 | 94,117,126,133,148,151,217                    | -
   2 gsm8k_test:2                70000   0/8 | -                                             | 156,242,288,289,294,429,480,1592
   3 gsm8k_test:3                  540   2/8 | 160,196                                       | 98,104,108,120,148,194
   4 gsm8k_test:4                   20   3/8 | 182,224,446                                   | 198,272,706,973
   5 gsm8k_test:5                   64   1/8 | 241                                           | 158,165,194,203,236,1360,4215
   6 gsm8k_test:6                  260   6/8 | 155,157,185,186,191,803                       | 178
   7 gsm8k_test:7                  160   0/8 | -                                             | 214,215,270,282,304,375,402,989
   8 gsm8k_test:8                   45   0/8 | -                                             | 213,228,238,263,321,325,359,368
   9 gsm8k_test:9                  460   5/8 | 190,205,220,243,294                           | 227,281
  10 gsm8k_test:10                 366   4/8 | 130,190,192,202                               | 111,141,164,171
  11 gsm8k_test:11                 694   2/8 | 458,585                                       | 201,241,289,291,390,807
  12 gsm8k_test:12                  13   4/8 | 299,377,569,627                               | 181,261,268,315
  13 gsm8k_test:13                  18   6/8 | 291,342,765,1207,1564,1630                    | 3931
  14 gsm8k_test:14                  60   8/8 | 138,143,159,180,187,199,207,288               | -
  15 gsm8k_test:15                 125   7/8 | 223,238,242,251,273,314,570                   | 407
  16 gsm8k_test:16                 230   7/8 | 199,226,228,278,314,547,611                   | 259
  17 gsm8k_test:17               57500   5/8 | 165,212,336,463,2010                          | 193,259,333
  18 gsm8k_test:18                   7   7/8 | 118,166,184,193,202,228,283                   | -
  19 gsm8k_test:19                   6   6/8 | 219,252,286,315,346,365                       | 220,275
  20 gsm8k_test:20                  15   0/8 | -                                             | 210,294,315,350,503,1298,1617,7701
  21 gsm8k_test:21                  14   0/8 | -                                             | 296,360,779,804,1240,1699
  22 gsm8k_test:22                   7   8/8 | 110,120,131,132,170,176,193,296               | -
  23 gsm8k_test:23                   8   7/8 | 126,161,186,221,239,258,262                   | 207
  24 gsm8k_test:24                  26   8/8 | 122,140,147,150,156,170,201,255               | -
  25 gsm8k_test:25                   2   8/8 | 210,228,230,240,248,255,353,876               | -
  26 gsm8k_test:26                 243   6/8 | 221,276,320,373,375,402                       | 360
  27 gsm8k_test:27                  16   7/8 | 180,194,204,211,287,375,682                   | -
  28 gsm8k_test:28                  25   6/8 | 111,133,152,173,561,1074                      | 147,160
  29 gsm8k_test:29                 104   4/8 | 151,392,504,1089                              | 328,822
  30 gsm8k_test:30                 109   8/8 | 163,184,201,207,208,222,224,233               | -
  31 gsm8k_test:31                  80   4/8 | 191,221,260,2501                              | 166,191,236,575
  32 gsm8k_test:32                  35   7/8 | 137,137,146,155,162,163,168                   | 355
  33 gsm8k_test:33                  70   8/8 | 145,148,149,155,182,211,219,1087              | -
  34 gsm8k_test:34                  23   5/8 | 135,152,169,192,260                           | 153,230,410
  35 gsm8k_test:35                   9   8/8 | 141,147,149,168,170,176,240,260               | -
  36 gsm8k_test:36                  75   4/8 | 177,196,234,1103                              | 129,187,2393
  37 gsm8k_test:37                   2   0/8 | -                                             | 141,222,238,298,313,395
  38 gsm8k_test:38                  10   3/8 | 199,213,294                                   | 189,212,216,216,301
  39 gsm8k_test:39                  18   3/8 | 295,394,904                                   | 256,281,314,333,603
  40 gsm8k_test:40                   8   7/8 | 122,130,196,208,223,246,1509                  | -
  41 gsm8k_test:41                 200   5/8 | 221,374,634,1245,1589                         | 294,1157
  42 gsm8k_test:42                  26   8/8 | 99,106,134,137,138,160,171,189                | -
  43 gsm8k_test:43                  48   1/8 | 2406                                          | 234,251,274,290,309,588
  44 gsm8k_test:44                  20   0/8 | -                                             | 173,185,205,224,255,287,353,1086
  45 gsm8k_test:45                 104   2/8 | 375,520                                       | 185,188,250,285,342,942
  46 gsm8k_test:46                 163   8/8 | 189,191,210,227,252,259,280,342               | -
  47 gsm8k_test:47                 800   4/8 | 366,389,467,1170                              | 200,200,213,253
  48 gsm8k_test:48                   8   8/8 | 95,96,100,100,102,117,122,124                 | -
  49 gsm8k_test:49                  30   6/8 | 132,134,147,164,170,207                       | 140,146
  50 gsm8k_test:50                 294   6/8 | 152,171,174,185,193,281                       | 372
  51 gsm8k_test:51                   5   7/8 | 110,126,173,190,197,208,210                   | -
  52 gsm8k_test:52                  15   7/8 | 206,210,238,255,338,462,1219                  | -
  53 gsm8k_test:53                  40   5/8 | 213,248,274,287,321                           | 222,249,276
  54 gsm8k_test:54                  40   1/8 | 141                                           | 195,298,358,406,830,1564,1906
  55 gsm8k_test:55                  14   8/8 | 115,115,117,130,140,145,147,210               | -
  56 gsm8k_test:56                   3   5/8 | 101,146,150,212,218                           | 231,303,621
  57 gsm8k_test:57                  83   8/8 | 202,217,227,313,324,359,373,411               | -
  58 gsm8k_test:58                  57   3/8 | 261,316,392                                   | 240,321,330,399,453
  59 gsm8k_test:59                 187   8/8 | 104,117,123,125,127,141,189,192               | -
  60 gsm8k_test:60                  17   3/8 | 183,236,377                                   | 115,116,166,181,219
  61 gsm8k_test:61                1430   8/8 | 159,167,172,194,255,280,282,296               | -
  62 gsm8k_test:62               25000   0/8 | -                                             | 276,351,359,629,858,1104,1485
  63 gsm8k_test:63                1596   4/8 | 232,274,293,589                               | 161,167,185,772
  64 gsm8k_test:64                 300   4/8 | 162,263,347,397                               | 255,335,537,700
  65 gsm8k_test:65                  36   3/8 | 223,232,297                                   | 185,190,211,224
  66 gsm8k_test:66                  48   5/8 | 199,293,313,563,756                           | 199,330,961
  67 gsm8k_test:67                 595   5/8 | 152,157,186,197,341                           | 141,169,170
  68 gsm8k_test:68                  36   7/8 | 145,147,158,234,281,339,636                   | 153
  69 gsm8k_test:69                  60   8/8 | 84,84,101,101,109,117,124,149                 | -
  70 gsm8k_test:70                7425   0/8 | -                                             | 196,202,210,221,250,251,252,265
  71 gsm8k_test:71                  60   8/8 | 99,106,131,131,133,143,158,167                | -
  72 gsm8k_test:72                 221   8/8 | 133,177,182,202,205,208,213,222               | -
  73 gsm8k_test:73                 255   3/8 | 158,191,209                                   | 154,198,203,211,372
  74 gsm8k_test:74                  88   5/8 | 253,259,316,363,377                           | 318,470,475
  75 gsm8k_test:75                  60   1/8 | 305                                           | 204,276,277,290,382,400,539
  76 gsm8k_test:76                   5   2/8 | 230,238                                       | 275,322,646,875,980,1034
  77 gsm8k_test:77                 100   6/8 | 187,188,214,256,284,295                       | 215,288
  78 gsm8k_test:78                   6   7/8 | 186,218,224,226,276,283,341                   | 210
